name;county;province;lat;lon
Żoń;Chodzieski;Wielkopolskie;52.9213889;17.1536111
Młynary;Chodzieski;Wielkopolskie;52.9911;17.10211
Pawłowo Żońskie;Wągrowiecki;Wielkopolskie;52.9102974;17.1758146
Oporzyn;Wągrowiecki;Wielkopolskie;52.9229239;17.1675537
Próchnowo;Chodzieski;Wielkopolskie;52.9383132;17.1468661
Rybowo;Wągrowiecki;Wielkopolskie;52.93711;17.22304
Lipiniec;Chodzieski;Wielkopolskie;52.98963;17.15773
Bugaj;Chodzieski;Wielkopolskie;52.9333697;17.162523
Konary;Wągrowiecki;Wielkopolskie;52.95462;17.20279
Lipiny;Chodzieski;Wielkopolskie;52.96929;17.18974
Dębiniec;Chodzieski;Wielkopolskie;52.98551;17.18202
Buszewo;Wągrowiecki;Wielkopolskie;52.9660129;17.2229308
Czesławice;Wągrowiecki;Wielkopolskie;52.98328;17.22304
Józefowice;Chodzieski;Wielkopolskie;53.395933;17.753399
Nałęcza;Chodzieski;Wielkopolskie;53.387279;17.555435
Laskowo;Chodzieski;Wielkopolskie;53.2199;17.9593
Atanazyn;Chodzieski;Wielkopolskie;53.474;17.12571
Szamoty;Chodzieski;Wielkopolskie;53.381949;17.1499319
Borowo;Chodzieski;Wielkopolskie;53.3495;17.18863
Borówki;Chodzieski;Wielkopolskie;53.456035;17.1690885
Heliodorowo;Chodzieski;Wielkopolskie;53.524002;17.1669544
Sokolec;Chodzieski;Wielkopolskie;53.583333;17.2138889
Lipia Góra;Chodzieski;Wielkopolskie;53.6222;17.21793
Podlesie Kościelne;Wągrowiecki;Wielkopolskie;52.73862;17.28952
Ochodza;Wągrowiecki;Wielkopolskie;52.7626397;17.2333741
Sarbia;Wągrowiecki;Wielkopolskie;52.7362379;17.2518863
Zbietka;Wągrowiecki;Wielkopolskie;52.7558956;17.2773985
Rgielsko;Wągrowiecki;Wielkopolskie;52.8173951;17.2531646
Łaziska;Wągrowiecki;Wielkopolskie;52.7818873;17.2509828
Nowa Wieś;Wągrowiecki;Wielkopolskie;52.7864956;17.2907133
Bracholin;Wągrowiecki;Wielkopolskie;52.82188;17.30154
Mieścisko;Wągrowiecki;Wielkopolskie;52.7436655;17.3294668
Zakrzewo;Wągrowiecki;Wielkopolskie;52.77067;17.37133
Gorzewo;Wągrowiecki;Wielkopolskie;52.73854;17.39025
Rąbczyn;Wągrowiecki;Wielkopolskie;52.78793;17.31965
Wiela;Wągrowiecki;Wielkopolskie;52.74048;17.3608
Werkowo;Wągrowiecki;Wielkopolskie;52.81909;17.35906
Żabiczyn;Wągrowiecki;Wielkopolskie;52.78731;17.36398
Stępuchowo;Wągrowiecki;Wielkopolskie;52.80546;17.39941
Mirkowice;Wągrowiecki;Wielkopolskie;52.7923585;17.3946636
Bukowiec;Wągrowiecki;Wielkopolskie;52.8564728;17.2386686
Micharzewo;Wągrowiecki;Wielkopolskie;52.83769;17.24813
Kaliska;Wągrowiecki;Wielkopolskie;52.82915;17.24028
Łekno;Wągrowiecki;Wielkopolskie;52.8415985;17.3004101
Krosno;Wągrowiecki;Wielkopolskie;52.85377;17.26742
Tarnowo Pałuckie;Wągrowiecki;Wielkopolskie;52.8317529;17.2767004
